question,A,B,C,D,correct
I enjoyed the movie big time. I,want to watch it again.,want the big one.,want more time to watch.,need more time.,A
Two friends are ordering drinks at the cafe. They,drink coffee.,each pay for their own drink at the nightclub.,start throwing water at each other.,run a marathon.,A
Boston Redsox are playing defense on the field right now. One of their players,slams the ball back.,hits a home run.,takes some photos.,is talking to the fans.,D
My phone is dying. I,am so sorry.,wish I have a cat.,need to charge it.,had salad for lunch.,C
A dog walks into a lecture hall. It,gives a lecture on dog barking habits.,circles around asking for food.,teaches students about food nutrition.,gives a lecture on dog history.,B
The boy could not see the bridge in the forest. The bridge,was in front of him.,blended in with the environment.,was too big.,was gold.,B
A doctor speaks to her patient. The doctor then,tumbles on the floor.,takes out his medical instrument.,walks out of the office.,takes out her medical instrument.,D
I woke up for breakfast. My dad was cooking this morning. I could smell,the flowers in the town park,the bacon,carbon monoxide,the tension,B
I used a telescope by looking through,something far away.,something that is close.,a lens.,under the planet’s surface.,C
John knows Mary believes Bill feels Mary likes him. Mary,likes Bill.,likes John.,doesn't like Bill.,likes everyone.,A
The owner whipped his dog after he didn't do a trick. The dog,meowed at his owner.,wants ice cream.,cried in pain.,loves lightening.,C
A pharmacist is mixing a medication. He,"picks up an RX bottle, tells it to never say hello to Tylenol, and then hugs the medication.","grabs a mortar and pestle, runs out of Walgreens, and says he is off his medication.",double checks the patient's allergies first.,"pours the cough syrup into the bottle, shakes it up, throws it in a watermelon and then says no more medication.",C
George is a rat. He,becomes a dog.,likes chess.,likes cheese.,runs after cats.,C
Two leaves fall into the stream. The water,drips from the faucet.,is starting to boil the pasta.,makes the road very slippery.,flows around the rocks.,D
"He puts eggs, ham, and tomatoes into a pan. He",cuts the tomatoes into pieces,drops the pan onto a plate,scrambles them with a spatula,cuts the ham into pieces,C
I am feeling nervous about my midterm tomorrow. I fear that,the professor will delay the midterm.,I will doodle on my exam and receive points for it.,my grandpa has diabetes.,I will fail.,D
"A woman sits at a table, and then",becomes a man.,takes a bath.,crash the flight into ground.,eats dinner.,D
"Out in the night, he heard the growl of what sounded like a large animal. He",stayed close to the fire.,started a dog racing team.,went out to pet it.,slept in the river.,A
When I was young I had a rabbit. The rabbit,loved spinach and used to snore a lot in the night.,fell in love with my dog,was a math genius,stayed young forever.,A
Peter received the admission letter from Northwestern University just now. He,received a bad news.,told the news to Northwestern University immediately.,started to plan the trip to campus.,started a new job.,C
The man goes to school in his underpants. He,looks down in embarrassment.,attends the lecture.,teaches the class.,goes to the meeting with his professor.,A
"After witnessing the death of his entire family, John",felt extreme happiness.,clapped for hours.,wondered if he had anything left to live for.,"did not cry, did not feel sad, and was not at all depressed.",C
"Once he stopped playing video games,",he got really good at video games.,he decided to play video games with his dog.,he was able to focus more on work.,she wouldn't make dinner again.,C
A woman shoots a basketball at a hoop. The woman,does a backflip,chases the ball after it ricochets off the rim,shoots a basketball at a hoop,jumps twenty feet into the air,B
"On stage, a woman takes a seat at the piano for the first time in her life and she is unprepared. She",plays guitar with four people on stage.,calls someone on the stage.,is very confident as she starts playing.,is very nervous as she starts playing.,D
"Adam was playing cards with Bob and was way ahead. If Bob hadn't had a sudden run of good luck, Bob would have",defeated Adam,won,passed out,lost,D
I wound up some tops. I,released some wind.,wounded my friend as well.,used to play when I was a kid.,wound up buying my mom instead.,C
A woman sits and opens a book. The woman,reads the words on her car.,eats the book.,sets the chair and book on fire.,smells that old book smell.,D
The boy plays with his cat. The cat,turns on his blinker and merges into traffic.,bites the boy really hard.,throws a baseball with his friend.,begins to brew a cup of coffee.,B
Bert is playing Jeopardy. He,answers the question correctly.,is arrested.,rolls the dice.,is in trouble.,A
The 2018 New York Democratic primaries were highly contentious. This is because,progressives ran against people in their same party.,the voter base was full of violent rioters.,New York is an autocratic system ruled by a horrible dictator.,New York Democrats are secretly Republicans.,A
A man is questioning his identity. He,wants to go to school to become a surgeon.,feels bad about his mother's garden.,feels entrapped by the police.,is confused.,D
"George H.W. and Barbara Bush spent more than seven decades of their lives together until her passing on April 17, 2018. George H.W.",always eat breakfast with his wife.,had to live alone without her wife.,didn't expected his wife would die on April 17.,grieved for his wife's death.,D
I went to South Korea over the summer. My,favorite food hamburgers came originated from there.,parents drove me from the US to visit relatives.,Korean is really bad.,Spanish classes helped prepare me to speak the native language.,C
A programmer is running late as he drives to work. He,reads a newspaper.,sits in traffic and swears at neighboring cars.,milks his cow.,writes a program to teleport his car to his destination on time.,B
Joe said the chemical reaction was dangerous. This caused Bob to,instantly die.,binge-watch all of Jojo's Bizarre Adventure in only a week.,think about his marriage.,put on protective gear.,D
The man is helping his child with some homework. He,doesn't know the material though.,doesn't have children.,won't eat his dinner.,fires his employee.,A
The woman demonstrates how to cut a turkey. The woman,grinds the turkey into powder,cuts her pet bird in half with scissors,firstly takes the turkey out of the oven,cuts her clothes into shreds with scissors,C
